agency,year,budget
National Endowment for the Arts,1995,162000
National Endowment for the Arts,1996,99000
National Endowment for the Arts,1997,99000
National Endowment for the Arts,1998,98000
National Endowment for the Arts,1999,97000
National Endowment for the Arts,2000,98000
National Endowment for the Arts,2001,105000
National Endowment for the Arts,2002,115000
National Endowment for the Arts,2003,116000
National Endowment for the Arts,2004,120000
National Endowment for the Arts,2005,121000
National Endowment for the Arts,2006,124000
National Endowment for the Arts,2007,125000
National Endowment for the Arts,2008,144000
National Endowment for the Arts,2009,205000
National Endowment for the Arts,2010,168000
National Endowment for the Arts,2011,155000
National Endowment for the Arts,2012,146000
National Endowment for the Arts,2013,138000
National Endowment for the Arts,2014,146000
National Endowment for the Arts,2015,146000
National Endowment for the Arts,2016,148000
National Endowment for the Arts,2017,151000
National Endowment for the Arts,2018,154000
National Endowment for the Arts,2019,156000
National Endowment for the Arts,2020,157000
National Endowment for the Humanities,1976,0
National Endowment for the Humanities,1977,0
National Endowment for the Humanities,1978,129363
National Endowment for the Humanities,1979,155432
National Endowment for the Humanities,1980,163192
National Endowment for the Humanities,1981,163588
National Endowment for the Humanities,1982,130899
National Endowment for the Humanities,1983,135877
National Endowment for the Humanities,1984,140118
National Endowment for the Humanities,1985,139478
National Endowment for the Humanities,1986,132582
National Endowment for the Humanities,1987,138890
National Endowment for the Humanities,1988,140435
National Endowment for the Humanities,1989,152999
National Endowment for the Humanities,1990,156910
National Endowment for the Humanities,1991,170002
National Endowment for the Humanities,1992,175955
National Endowment for the Humanities,1993,177413
National Endowment for the Humanities,1994,177491
National Endowment for the Humanities,1995,172000
National Endowment for the Humanities,1996,110000
National Endowment for the Humanities,1997,110000
National Endowment for the Humanities,1998,111000
National Endowment for the Humanities,1999,111000
National Endowment for the Humanities,2000,115000
National Endowment for the Humanities,2001,120000
National Endowment for the Humanities,2002,125000
National Endowment for the Humanities,2003,126000
National Endowment for the Humanities,2004,135000
National Endowment for the Humanities,2005,138000
National Endowment for the Humanities,2006,141000
National Endowment for the Humanities,2007,141000
National Endowment for the Humanities,2008,145000
National Endowment for the Humanities,2009,155000
National Endowment for the Humanities,2010,168000
National Endowment for the Humanities,2011,155000
National Endowment for the Humanities,2012,146000
National Endowment for the Humanities,2013,138000
National Endowment for the Humanities,2014,146000
National Endowment for the Humanities,2015,146000
National Endowment for the Humanities,2016,148000
National Endowment for the Humanities,2017,151000
National Endowment for the Humanities,2018,154000
National Endowment for the Humanities,2019,156000
National Endowment for the Humanities,2020,157000
National Institute of Building Sciences,1976,0
National Institute of Building Sciences,1977,0
National Institute of Building Sciences,1978,1000
National Institute of Building Sciences,1979,750
National Institute of Building Sciences,1980,750
National Institute of Building Sciences,1981,613
National Institute of Building Sciences,1982,1440
National Institute of Building Sciences,1983,0
National Institute of Building Sciences,1984,5250
National Institute of Building Sciences,1985,248
National Institute of Building Sciences,1986,753
National Institute of Building Sciences,1987,374
National Institute of Building Sciences,1988,626
National Institute of Building Sciences,1989,374
National Institute of Building Sciences,1990,659
National Institute of Building Sciences,1991,0
National Institute of Building Sciences,1992,0
National Institute of Building Sciences,1993,0
National Institute of Building Sciences,1994,0
National Institute of Building Sciences,1995,0
National Institute of Building Sciences,1996,0
National Institute of Building Sciences,1997,0
National Institute of Building Sciences,1998,0
National Institute of Building Sciences,1999,0
National Institute of Building Sciences,2000,0
National Institute of Building Sciences,2001,0
National Institute of Building Sciences,2002,0
National Institute of Building Sciences,2003,0
National Institute of Building Sciences,2004,0
National Institute of Building Sciences,2005,0
National Institute of Building Sciences,2006,0
National Institute of Building Sciences,2007,0
National Institute of Building Sciences,2008,0
National Institute of Building Sciences,2009,0
National Institute of Building Sciences,2010,0
National Institute of Building Sciences,2011,0
National Institute of Building Sciences,2012,0
National Institute of Building Sciences,2013,0
National Institute of Building Sciences,2014,0
National Institute of Building Sciences,2015,0
National Institute of Building Sciences,2016,0
National Institute of Building Sciences,2017,0
National Institute of Building Sciences,2018,0
National Institute of Building Sciences,2019,0
National Institute of Building Sciences,2020,0
National Labor Relations Board,1976,0
National Labor Relations Board,1977,80908
National Labor Relations Board,1978,92508
National Labor Relations Board,1979,102762
National Labor Relations Board,1980,112261
National Labor Relations Board,1981,118488
National Labor Relations Board,1982,117600
National Labor Relations Board,1983,126045
National Labor Relations Board,1984,133594
National Labor Relations Board,1985,137964
National Labor Relations Board,1986,129055
National Labor Relations Board,1987,132247
National Labor Relations Board,1988,133097
National Labor Relations Board,1989,136983
National Labor Relations Board,1990,140111
National Labor Relations Board,1991,147460
National Labor Relations Board,1992,162000
National Labor Relations Board,1993,169807
National Labor Relations Board,1994,171274
National Labor Relations Board,1995,176000
National Labor Relations Board,1996,170000
National Labor Relations Board,1997,175000
National Labor Relations Board,1998,175000
National Labor Relations Board,1999,184000
National Labor Relations Board,2000,205000
National Labor Relations Board,2001,216000
National Labor Relations Board,2002,226000
National Labor Relations Board,2003,237000
National Labor Relations Board,2004,243000
National Labor Relations Board,2005,249000
National Labor Relations Board,2006,250000
National Labor Relations Board,2007,252000
National Labor Relations Board,2008,252000
National Labor Relations Board,2009,263000
National Labor Relations Board,2010,283000
National Labor Relations Board,2011,283000
National Labor Relations Board,2012,278000
National Labor Relations Board,2013,263000
National Labor Relations Board,2014,274000
National Labor Relations Board,2015,274000
National Labor Relations Board,2016,278000
National Labor Relations Board,2017,284000
National Labor Relations Board,2018,289000
National Labor Relations Board,2019,292000
National Labor Relations Board,2020,295000
National Mediation Board,1976,0
National Mediation Board,1977,3660
National Mediation Board,1978,3913
National Mediation Board,1979,4033
National Mediation Board,1980,4444
National Mediation Board,1981,4780
National Mediation Board,1982,4758
National Mediation Board,1983,5468
National Mediation Board,1984,6238
National Mediation Board,1985,6358
National Mediation Board,1986,6085
National Mediation Board,1987,6505
National Mediation Board,1988,7004
National Mediation Board,1989,6472
National Mediation Board,1990,6384
National Mediation Board,1991,6514
National Mediation Board,1992,6775
National Mediation Board,1993,7807
National Mediation Board,1994,8657
National Mediation Board,1995,8000
National Mediation Board,1996,8000
National Mediation Board,1997,8000
National Mediation Board,1998,9000
National Mediation Board,1999,8000
National Mediation Board,2000,10000
National Mediation Board,2001,10000
National Mediation Board,2002,11000
National Mediation Board,2003,11000
National Mediation Board,2004,11000
National Mediation Board,2005,12000
National Mediation Board,2006,12000
National Mediation Board,2007,12000
National Mediation Board,2008,13000
National Mediation Board,2009,13000
National Mediation Board,2010,13000
National Mediation Board,2011,13000
National Mediation Board,2012,13000
National Mediation Board,2013,12000
National Mediation Board,2014,13000
National Mediation Board,2015,13000
National Mediation Board,2016,13000
National Mediation Board,2017,13000
National Mediation Board,2018,14000
National Mediation Board,2019,14000
National Mediation Board,2020,14000
National Science Foundation,1976,0
National Science Foundation,1977,782752
National Science Foundation,1978,867698
National Science Foundation,1979,914133
National Science Foundation,1980,990743
National Science Foundation,1981,1031026
National Science Foundation,1982,1005802
National Science Foundation,1983,1103520
National Science Foundation,1984,1322616
National Science Foundation,1985,1501642
National Science Foundation,1986,1458329
National Science Foundation,1987,1622850
National Science Foundation,1988,1717000
National Science Foundation,1989,1922500
National Science Foundation,1990,2083607
National Science Foundation,1991,2315999
National Science Foundation,1992,2572708
National Science Foundation,1993,2733548
National Science Foundation,1994,3017797
National Science Foundation,1995,3227000
National Science Foundation,1996,3219000
National Science Foundation,1997,3271000
National Science Foundation,1998,3431000
National Science Foundation,1999,3702000
National Science Foundation,2000,3961000
National Science Foundation,2001,4519000
National Science Foundation,2002,4884000
National Science Foundation,2003,5384000
National Science Foundation,2004,5589000
National Science Foundation,2005,5565000
National Science Foundation,2006,5690000
National Science Foundation,2007,6028000
National Science Foundation,2008,6197000
National Science Foundation,2009,9579000
National Science Foundation,2010,6963000
National Science Foundation,2011,6910000
National Science Foundation,2012,7159000
National Science Foundation,2013,6997000
National Science Foundation,2014,7296000
National Science Foundation,2015,7444000
National Science Foundation,2016,7827000
National Science Foundation,2017,7974000
National Science Foundation,2018,8132000
National Science Foundation,2019,8212000
National Science Foundation,2020,8293000
National Transportation Policy Study Commission,1976,0
National Transportation Policy Study Commission,1977,3000
National Transportation Policy Study Commission,1978,2040
National Transportation Policy Study Commission,1979,0
National Transportation Policy Study Commission,1980,66
National Transportation Policy Study Commission,1981,0
National Transportation Policy Study Commission,1982,0
National Transportation Policy Study Commission,1983,0
National Transportation Policy Study Commission,1984,0
National Transportation Policy Study Commission,1985,0
National Transportation Policy Study Commission,1986,0
National Transportation Policy Study Commission,1987,0
National Transportation Policy Study Commission,1988,0
National Transportation Policy Study Commission,1989,0
National Transportation Policy Study Commission,1990,0
National Transportation Policy Study Commission,1991,0
National Transportation Policy Study Commission,1992,0
National Transportation Policy Study Commission,1993,0
National Transportation Policy Study Commission,1994,0
National Transportation Policy Study Commission,1995,0
National Transportation Policy Study Commission,1996,0
National Transportation Policy Study Commission,1997,0
National Transportation Policy Study Commission,1998,0
National Transportation Policy Study Commission,1999,0
National Transportation Policy Study Commission,2000,0
National Transportation Policy Study Commission,2001,0
National Transportation Policy Study Commission,2002,0
National Transportation Policy Study Commission,2003,0
National Transportation Policy Study Commission,2004,0
National Transportation Policy Study Commission,2005,0
National Transportation Policy Study Commission,2006,0
National Transportation Policy Study Commission,2007,0
National Transportation Policy Study Commission,2008,0
National Transportation Policy Study Commission,2009,0
National Transportation Policy Study Commission,2010,0
National Transportation Policy Study Commission,2011,0
National Transportation Policy Study Commission,2012,0
National Transportation Policy Study Commission,2013,0
National Transportation Policy Study Commission,2014,0
National Transportation Policy Study Commission,2015,0
National Transportation Policy Study Commission,2016,0
National Transportation Policy Study Commission,2017,0
National Transportation Policy Study Commission,2018,0
National Transportation Policy Study Commission,2019,0
National Transportation Policy Study Commission,2020,0
National Transportation Safety Board,1976,0
National Transportation Safety Board,1977,13800
National Transportation Safety Board,1978,15250
National Transportation Safety Board,1979,16080
National Transportation Safety Board,1980,17322
National Transportation Safety Board,1981,18440
National Transportation Safety Board,1982,18705
National Transportation Safety Board,1983,19970
National Transportation Safety Board,1984,21048
National Transportation Safety Board,1985,21899
National Transportation Safety Board,1986,21341
National Transportation Safety Board,1987,22240
National Transportation Safety Board,1988,24000
National Transportation Safety Board,1989,25360
National Transportation Safety Board,1990,27231
National Transportation Safety Board,1991,31470
National Transportation Safety Board,1992,34676
National Transportation Safety Board,1993,36000
National Transportation Safety Board,1994,37105
National Transportation Safety Board,1995,37000
National Transportation Safety Board,1996,40000
National Transportation Safety Board,1997,79000
National Transportation Safety Board,1998,54000
National Transportation Safety Board,1999,56000
National Transportation Safety Board,2000,77000
National Transportation Safety Board,2001,63000
National Transportation Safety Board,2002,68000
National Transportation Safety Board,2003,67000
National Transportation Safety Board,2004,73000
National Transportation Safety Board,2005,68000
National Transportation Safety Board,2006,75000
National Transportation Safety Board,2007,78000
National Transportation Safety Board,2008,84000
National Transportation Safety Board,2009,90000
National Transportation Safety Board,2010,98000
National Transportation Safety Board,2011,98000
National Transportation Safety Board,2012,102000
National Transportation Safety Board,2013,97000
National Transportation Safety Board,2014,103000
National Transportation Safety Board,2015,104000
National Transportation Safety Board,2016,105000
National Transportation Safety Board,2017,107000
National Transportation Safety Board,2018,109000
National Transportation Safety Board,2019,110000
National Transportation Safety Board,2020,111000
Native Hawaiians Study Commission,1976,0
Native Hawaiians Study Commission,1977,0
Native Hawaiians Study Commission,1978,0
Native Hawaiians Study Commission,1979,0
Native Hawaiians Study Commission,1980,0
Native Hawaiians Study Commission,1981,0
Native Hawaiians Study Commission,1982,0
Native Hawaiians Study Commission,1983,190
Native Hawaiians Study Commission,1984,0
Native Hawaiians Study Commission,1985,0
Native Hawaiians Study Commission,1986,0
Native Hawaiians Study Commission,1987,0
Native Hawaiians Study Commission,1988,0
Native Hawaiians Study Commission,1989,0
Native Hawaiians Study Commission,1990,0
Native Hawaiians Study Commission,1991,0
Native Hawaiians Study Commission,1992,0
Native Hawaiians Study Commission,1993,0
Native Hawaiians Study Commission,1994,0
Native Hawaiians Study Commission,1995,0
Native Hawaiians Study Commission,1996,0
Native Hawaiians Study Commission,1997,0
Native Hawaiians Study Commission,1998,0
Native Hawaiians Study Commission,1999,0
Native Hawaiians Study Commission,2000,0
Native Hawaiians Study Commission,2001,0
Native Hawaiians Study Commission,2002,0
Native Hawaiians Study Commission,2003,0
Native Hawaiians Study Commission,2004,0
Native Hawaiians Study Commission,2005,0
Native Hawaiians Study Commission,2006,0
Native Hawaiians Study Commission,2007,0
Native Hawaiians Study Commission,2008,0
Native Hawaiians Study Commission,2009,0
Native Hawaiians Study Commission,2010,0
Native Hawaiians Study Commission,2011,0
Native Hawaiians Study Commission,2012,0
Native Hawaiians Study Commission,2013,0
Native Hawaiians Study Commission,2014,0
Native Hawaiians Study Commission,2015,0
Native Hawaiians Study Commission,2016,0
Native Hawaiians Study Commission,2017,0
Native Hawaiians Study Commission,2018,0
Native Hawaiians Study Commission,2019,0
Native Hawaiians Study Commission,2020,0
Neighborhood Reinvestment Corporation,1976,0
Neighborhood Reinvestment Corporation,1977,0
Neighborhood Reinvestment Corporation,1978,0
Neighborhood Reinvestment Corporation,1979,0
Neighborhood Reinvestment Corporation,1980,12000
Neighborhood Reinvestment Corporation,1981,12459
Neighborhood Reinvestment Corporation,1982,13872
Neighborhood Reinvestment Corporation,1983,15512
Neighborhood Reinvestment Corporation,1984,16012
Neighborhood Reinvestment Corporation,1985,15512
Neighborhood Reinvestment Corporation,1986,17669
Neighborhood Reinvestment Corporation,1987,19000
Neighborhood Reinvestment Corporation,1988,18720
Neighborhood Reinvestment Corporation,1989,19494
Neighborhood Reinvestment Corporation,1990,26554
Neighborhood Reinvestment Corporation,1991,25554
Neighborhood Reinvestment Corporation,1992,31900
Neighborhood Reinvestment Corporation,1993,27976
Neighborhood Reinvestment Corporation,1994,32000
Neighborhood Reinvestment Corporation,1995,39000
Neighborhood Reinvestment Corporation,1996,39000
Neighborhood Reinvestment Corporation,1997,50000
Neighborhood Reinvestment Corporation,1998,60000
Neighborhood Reinvestment Corporation,1999,90000
Neighborhood Reinvestment Corporation,2000,75000
Neighborhood Reinvestment Corporation,2001,90000
Neighborhood Reinvestment Corporation,2002,105000
Neighborhood Reinvestment Corporation,2003,104000
Neighborhood Reinvestment Corporation,2004,114000
Neighborhood Reinvestment Corporation,2005,114000
Neighborhood Reinvestment Corporation,2006,117000
Neighborhood Reinvestment Corporation,2007,117000
Neighborhood Reinvestment Corporation,2008,480000
Neighborhood Reinvestment Corporation,2009,181000
Neighborhood Reinvestment Corporation,2010,233000
Neighborhood Reinvestment Corporation,2011,233000
Neighborhood Reinvestment Corporation,2012,215000
Neighborhood Reinvestment Corporation,2013,204000
Neighborhood Reinvestment Corporation,2014,204000
Neighborhood Reinvestment Corporation,2015,185000
Neighborhood Reinvestment Corporation,2016,182000
Neighborhood Reinvestment Corporation,2017,186000
Neighborhood Reinvestment Corporation,2018,190000
Neighborhood Reinvestment Corporation,2019,191000
Neighborhood Reinvestment Corporation,2020,193000
Nuclear Regulatory Commission,1976,0
Nuclear Regulatory Commission,1977,248780
Nuclear Regulatory Commission,1978,290023
Nuclear Regulatory Commission,1979,326601
Nuclear Regulatory Commission,1980,400100
Nuclear Regulatory Commission,1981,440561
Nuclear Regulatory Commission,1982,465700
Nuclear Regulatory Commission,1983,465274
Nuclear Regulatory Commission,1984,452494
Nuclear Regulatory Commission,1985,371989
Nuclear Regulatory Commission,1986,355074
Nuclear Regulatory Commission,1987,358709
Nuclear Regulatory Commission,1988,214308
Nuclear Regulatory Commission,1989,221540
Nuclear Regulatory Commission,1990,266104
Nuclear Regulatory Commission,1991,26384
Nuclear Regulatory Commission,1992,23235
Nuclear Regulatory Commission,1993,32928
Nuclear Regulatory Commission,1994,35424
Nuclear Regulatory Commission,1995,22000
Nuclear Regulatory Commission,1996,18000
Nuclear Regulatory Commission,1997,18000
Nuclear Regulatory Commission,1998,22000
Nuclear Regulatory Commission,1999,26000
Nuclear Regulatory Commission,2000,24000
Nuclear Regulatory Commission,2001,35000
Nuclear Regulatory Commission,2002,83000
Nuclear Regulatory Commission,2003,58000
Nuclear Regulatory Commission,2004,81000
Nuclear Regulatory Commission,2005,135000
Nuclear Regulatory Commission,2006,116000
Nuclear Regulatory Commission,2007,156000
Nuclear Regulatory Commission,2008,163000
Nuclear Regulatory Commission,2009,188000
Nuclear Regulatory Commission,2010,138000
Nuclear Regulatory Commission,2011,143000
Nuclear Regulatory Commission,2012,143000
Nuclear Regulatory Commission,2013,133000
Nuclear Regulatory Commission,2014,185000
Nuclear Regulatory Commission,2015,119000
Nuclear Regulatory Commission,2016,121000
Nuclear Regulatory Commission,2017,123000
Nuclear Regulatory Commission,2018,126000
Nuclear Regulatory Commission,2019,129000
Nuclear Regulatory Commission,2020,130000
Nuclear Safety Oversight Committee,1976,0
Nuclear Safety Oversight Committee,1977,0
Nuclear Safety Oversight Committee,1978,0
Nuclear Safety Oversight Committee,1979,0
Nuclear Safety Oversight Committee,1980,0
Nuclear Safety Oversight Committee,1981,1500
Nuclear Safety Oversight Committee,1982,0
Nuclear Safety Oversight Committee,1983,0
Nuclear Safety Oversight Committee,1984,0
Nuclear Safety Oversight Committee,1985,0
Nuclear Safety Oversight Committee,1986,0
Nuclear Safety Oversight Committee,1987,0
Nuclear Safety Oversight Committee,1988,0
Nuclear Safety Oversight Committee,1989,0
Nuclear Safety Oversight Committee,1990,0
Nuclear Safety Oversight Committee,1991,0
Nuclear Safety Oversight Committee,1992,0
Nuclear Safety Oversight Committee,1993,0
Nuclear Safety Oversight Committee,1994,0
Nuclear Safety Oversight Committee,1995,0
Nuclear Safety Oversight Committee,1996,0
Nuclear Safety Oversight Committee,1997,0
Nuclear Safety Oversight Committee,1998,0
Nuclear Safety Oversight Committee,1999,0
Nuclear Safety Oversight Committee,2000,0
Nuclear Safety Oversight Committee,2001,0
Nuclear Safety Oversight Committee,2002,0
Nuclear Safety Oversight Committee,2003,0
Nuclear Safety Oversight Committee,2004,0
Nuclear Safety Oversight Committee,2005,0
Nuclear Safety Oversight Committee,2006,0
Nuclear Safety Oversight Committee,2007,0
Nuclear Safety Oversight Committee,2008,0
Nuclear Safety Oversight Committee,2009,0
Nuclear Safety Oversight Committee,2010,0
Nuclear Safety Oversight Committee,2011,0
Nuclear Safety Oversight Committee,2012,0
Nuclear Safety Oversight Committee,2013,0
Nuclear Safety Oversight Committee,2014,0
Nuclear Safety Oversight Committee,2015,0
Nuclear Safety Oversight Committee,2016,0
Nuclear Safety Oversight Committee,2017,0
Nuclear Safety Oversight Committee,2018,0
Nuclear Safety Oversight Committee,2019,0
Nuclear Safety Oversight Committee,2020,0
Nuclear Waste Technical Review Board,1976,0
Nuclear Waste Technical Review Board,1977,0
Nuclear Waste Technical Review Board,1978,0
Nuclear Waste Technical Review Board,1979,0
Nuclear Waste Technical Review Board,1980,0
Nuclear Waste Technical Review Board,1981,2000
Nuclear Waste Technical Review Board,1982,172
Nuclear Waste Technical Review Board,1983,300
Nuclear Waste Technical Review Board,1984,0
Nuclear Waste Technical Review Board,1985,0
Nuclear Waste Technical Review Board,1986,0
Nuclear Waste Technical Review Board,1987,0
Nuclear Waste Technical Review Board,1988,0
Nuclear Waste Technical Review Board,1989,3000
Nuclear Waste Technical Review Board,1990,2000
Nuclear Waste Technical Review Board,1991,0
Nuclear Waste Technical Review Board,1992,3294
Nuclear Waste Technical Review Board,1993,2060
Nuclear Waste Technical Review Board,1994,2160
Nuclear Waste Technical Review Board,1995,3000
Nuclear Waste Technical Review Board,1996,3000
Nuclear Waste Technical Review Board,1997,3000
Nuclear Waste Technical Review Board,1998,3000
Nuclear Waste Technical Review Board,1999,3000
Nuclear Waste Technical Review Board,2000,3000
Nuclear Waste Technical Review Board,2001,3000
Nuclear Waste Technical Review Board,2002,3000
Nuclear Waste Technical Review Board,2003,3000
Nuclear Waste Technical Review Board,2004,3000
Nuclear Waste Technical Review Board,2005,3000
Nuclear Waste Technical Review Board,2006,4000
Nuclear Waste Technical Review Board,2007,4000
Nuclear Waste Technical Review Board,2008,4000
Nuclear Waste Technical Review Board,2009,4000
Nuclear Waste Technical Review Board,2010,4000
Nuclear Waste Technical Review Board,2011,4000
Nuclear Waste Technical Review Board,2012,3000
Nuclear Waste Technical Review Board,2013,3000
Nuclear Waste Technical Review Board,2014,3000
Nuclear Waste Technical Review Board,2015,3000
Nuclear Waste Technical Review Board,2016,4000
Nuclear Waste Technical Review Board,2017,4000
Nuclear Waste Technical Review Board,2018,4000
Nuclear Waste Technical Review Board,2019,4000
Nuclear Waste Technical Review Board,2020,4000
Occupational Safety and Health Review Commission,1976,0
Occupational Safety and Health Review Commission,1977,6607
Occupational Safety and Health Review Commission,1978,7150
Occupational Safety and Health Review Commission,1979,7658
Occupational Safety and Health Review Commission,1980,7450
Occupational Safety and Health Review Commission,1981,7806
Occupational Safety and Health Review Commission,1982,7092
Occupational Safety and Health Review Commission,1983,6316
Occupational Safety and Health Review Commission,1984,5982
Occupational Safety and Health Review Commission,1985,6143
Occupational Safety and Health Review Commission,1986,5647
Occupational Safety and Health Review Commission,1987,5750
Occupational Safety and Health Review Commission,1988,5885
Occupational Safety and Health Review Commission,1989,5845
Occupational Safety and Health Review Commission,1990,5970
Occupational Safety and Health Review Commission,1991,6247
Occupational Safety and Health Review Commission,1992,6711
Occupational Safety and Health Review Commission,1993,7112
Occupational Safety and Health Review Commission,1994,7362
Occupational Safety and Health Review Commission,1995,8000
Occupational Safety and Health Review Commission,1996,8000
Occupational Safety and Health Review Commission,1997,8000
Occupational Safety and Health Review Commission,1998,8000
Occupational Safety and Health Review Commission,1999,8000
Occupational Safety and Health Review Commission,2000,8000
Occupational Safety and Health Review Commission,2001,9000
Occupational Safety and Health Review Commission,2002,9000
Occupational Safety and Health Review Commission,2003,10000
Occupational Safety and Health Review Commission,2004,10000
Occupational Safety and Health Review Commission,2005,11000
Occupational Safety and Health Review Commission,2006,10000
Occupational Safety and Health Review Commission,2007,10000
Occupational Safety and Health Review Commission,2008,11000
Occupational Safety and Health Review Commission,2009,11000
Occupational Safety and Health Review Commission,2010,12000
Occupational Safety and Health Review Commission,2011,12000
Occupational Safety and Health Review Commission,2012,12000
Occupational Safety and Health Review Commission,2013,11000
Occupational Safety and Health Review Commission,2014,11000
Occupational Safety and Health Review Commission,2015,12000
Occupational Safety and Health Review Commission,2016,13000
Occupational Safety and Health Review Commission,2017,13000
Occupational Safety and Health Review Commission,2018,14000
Occupational Safety and Health Review Commission,2019,14000
Occupational Safety and Health Review Commission,2020,14000
Office of Government Ethics,1976,0
Office of Government Ethics,1977,0
Office of Government Ethics,1978,0
Office of Government Ethics,1979,0
Office of Government Ethics,1980,0
Office of Government Ethics,1981,0
Office of Government Ethics,1982,0
Office of Government Ethics,1983,0
Office of Government Ethics,1984,0
Office of Government Ethics,1985,0
Office of Government Ethics,1986,0
Office of Government Ethics,1987,0
Office of Government Ethics,1988,0
Office of Government Ethics,1989,0
Office of Government Ethics,1990,3369
Office of Government Ethics,1991,3725
Office of Government Ethics,1992,6303
Office of Government Ethics,1993,8265
Office of Government Ethics,1994,8313
Office of Government Ethics,1995,8000
Office of Government Ethics,1996,8000
Office of Government Ethics,1997,8000
Office of Government Ethics,1998,8000
Office of Government Ethics,1999,8000
Office of Government Ethics,2000,9000
Office of Government Ethics,2001,10000
Office of Government Ethics,2002,10000
Office of Government Ethics,2003,10000
Office of Government Ethics,2004,11000
Office of Government Ethics,2005,11000
Office of Government Ethics,2006,11000
Office of Government Ethics,2007,11000
Office of Government Ethics,2008,12000
Office of Government Ethics,2009,13000
Office of Government Ethics,2010,14000
Office of Government Ethics,2011,14000
Office of Government Ethics,2012,14000
Office of Government Ethics,2013,18000
Office of Government Ethics,2014,15000
Office of Government Ethics,2015,15000
Office of Government Ethics,2016,16000
Office of Government Ethics,2017,16000
Office of Government Ethics,2018,17000
Office of Government Ethics,2019,17000
Office of Government Ethics,2020,17000
Office of Navajo and Hopi Indian Relocation,1976,0
Office of Navajo and Hopi Indian Relocation,1977,400
Office of Navajo and Hopi Indian Relocation,1978,2173
Office of Navajo and Hopi Indian Relocation,1979,8752
Office of Navajo and Hopi Indian Relocation,1980,985
Office of Navajo and Hopi Indian Relocation,1981,2737
Office of Navajo and Hopi Indian Relocation,1982,12468
Office of Navajo and Hopi Indian Relocation,1983,7691
Office of Navajo and Hopi Indian Relocation,1984,18805
Office of Navajo and Hopi Indian Relocation,1985,20321
Office of Navajo and Hopi Indian Relocation,1986,21395
Office of Navajo and Hopi Indian Relocation,1987,22335
Office of Navajo and Hopi Indian Relocation,1988,25270
Office of Navajo and Hopi Indian Relocation,1989,36502
Office of Navajo and Hopi Indian Relocation,1990,36420
Office of Navajo and Hopi Indian Relocation,1991,33572
Office of Navajo and Hopi Indian Relocation,1992,25842
Office of Navajo and Hopi Indian Relocation,1993,24698
Office of Navajo and Hopi Indian Relocation,1994,26936
Office of Navajo and Hopi Indian Relocation,1995,25000
Office of Navajo and Hopi Indian Relocation,1996,20000
Office of Navajo and Hopi Indian Relocation,1997,19000
Office of Navajo and Hopi Indian Relocation,1998,15000
Office of Navajo and Hopi Indian Relocation,1999,13000
Office of Navajo and Hopi Indian Relocation,2000,8000
Office of Navajo and Hopi Indian Relocation,2001,15000
Office of Navajo and Hopi Indian Relocation,2002,15000
Office of Navajo and Hopi Indian Relocation,2003,14000
Office of Navajo and Hopi Indian Relocation,2004,14000
Office of Navajo and Hopi Indian Relocation,2005,5000
Office of Navajo and Hopi Indian Relocation,2006,9000
Office of Navajo and Hopi Indian Relocation,2007,9000
Office of Navajo and Hopi Indian Relocation,2008,9000
Office of Navajo and Hopi Indian Relocation,2009,8000
Office of Navajo and Hopi Indian Relocation,2010,8000
Office of Navajo and Hopi Indian Relocation,2011,8000
Office of Navajo and Hopi Indian Relocation,2012,8000
Office of Navajo and Hopi Indian Relocation,2013,8000
Office of Navajo and Hopi Indian Relocation,2014,7000
Office of Navajo and Hopi Indian Relocation,2015,7000
Office of Navajo and Hopi Indian Relocation,2016,8000
Office of Navajo and Hopi Indian Relocation,2017,8000
Office of Navajo and Hopi Indian Relocation,2018,8000
Office of Navajo and Hopi Indian Relocation,2019,8000
Office of Navajo and Hopi Indian Relocation,2020,8000
Office of Special Counsel,1976,0
Office of Special Counsel,1977,0
Office of Special Counsel,1978,0
Office of Special Counsel,1979,0
Office of Special Counsel,1980,0
Office of Special Counsel,1981,0
Office of Special Counsel,1982,0
Office of Special Counsel,1983,0
Office of Special Counsel,1984,0
Office of Special Counsel,1985,0
Office of Special Counsel,1986,0
Office of Special Counsel,1987,0
Office of Special Counsel,1988,0
Office of Special Counsel,1989,5000
Office of Special Counsel,1990,5107
Office of Special Counsel,1991,6608
Office of Special Counsel,1992,7789
Office of Special Counsel,1993,7952
Office of Special Counsel,1994,7992
Office of Special Counsel,1995,8000
Office of Special Counsel,1996,8000
Office of Special Counsel,1997,8000
Office of Special Counsel,1998,8000
Office of Special Counsel,1999,9000
Office of Special Counsel,2000,10000
Office of Special Counsel,2001,11000
Office of Special Counsel,2002,12000
Office of Special Counsel,2003,12000
Office of Special Counsel,2004,14000
Office of Special Counsel,2005,15000
Office of Special Counsel,2006,15000
Office of Special Counsel,2007,16000
Office of Special Counsel,2008,17000
Office of Special Counsel,2009,17000
Office of Special Counsel,2010,18000
Office of Special Counsel,2011,18000
Office of Special Counsel,2012,19000
Office of Special Counsel,2013,18000
Office of Special Counsel,2014,21000
Office of Special Counsel,2015,23000
Office of Special Counsel,2016,24000
Office of Special Counsel,2017,24000
Office of Special Counsel,2018,25000
Office of Special Counsel,2019,25000
Office of Special Counsel,2020,25000
Office of the Nuclear Waste Negotiator,1976,0
Office of the Nuclear Waste Negotiator,1977,0
