agency,year,budget
Department of Justice,1997,15797000
Department of Justice,1998,16597000
Department of Justice,1999,17138000
Department of Justice,2000,15751000
Department of Justice,2001,19196000
Department of Justice,2002,21381000
Department of Justice,2003,22934000
Department of Justice,2004,28092000
Department of Justice,2005,21772000
Department of Justice,2006,23052000
Department of Justice,2007,24771000
Department of Justice,2008,26354000
Department of Justice,2009,32661000
Department of Justice,2010,30171000
Department of Justice,2011,29184000
Department of Justice,2012,31412000
Department of Justice,2013,28106000
Department of Justice,2014,32753000
Department of Justice,2015,31779000
Department of Justice,2016,31769000
Department of Justice,2017,35409000
Department of Justice,2018,34130000
Department of Justice,2019,34452000
Department of Justice,2020,34755000
Department of Labor,1976,70
Department of Labor,1977,31193847
Department of Labor,1978,16826364
Department of Labor,1979,24714657
Department of Labor,1980,29845711
Department of Labor,1981,30998595
Department of Labor,1982,32083504
Department of Labor,1983,38285865
Department of Labor,1984,32013181
Department of Labor,1985,23872585
Department of Labor,1986,24589010
Department of Labor,1987,23958492
Department of Labor,1988,23070324
Department of Labor,1989,23926515
Department of Labor,1990,27377494
Department of Labor,1991,36234529
Department of Labor,1992,48887061
Department of Labor,1993,47691678
Department of Labor,1994,39003467
Department of Labor,1995,32924000
Department of Labor,1996,34099000
Department of Labor,1997,32860000
Department of Labor,1998,33757000
Department of Labor,1999,35763000
Department of Labor,2000,31258000
Department of Labor,2001,44437000
Department of Labor,2002,65209000
Department of Labor,2003,69074000
Department of Labor,2004,56923000
Department of Labor,2005,47155000
Department of Labor,2006,45896000
Department of Labor,2007,47624000
Department of Labor,2008,57973000
Department of Labor,2009,152821000
Department of Labor,2010,179228000
Department of Labor,2011,130168000
Department of Labor,2012,105366000
Department of Labor,2013,82267000
Department of Labor,2014,55782000
Department of Labor,2015,50159000
Department of Labor,2016,79805000
Department of Labor,2017,56174000
Department of Labor,2018,57082000
Department of Labor,2019,59979000
Department of Labor,2020,62772000
Department of State,1976,1007
Department of State,1977,1530100
Department of State,1978,1798462
Department of State,1979,2074850
Department of State,1980,2410661
Department of State,1981,2583283
Department of State,1982,2774153
Department of State,1983,2951900
Department of State,1984,3193429
Department of State,1985,3802273
Department of State,1986,4311335
Department of State,1987,4033919
Department of State,1988,4159851
Department of State,1989,4461188
Department of State,1990,4727688
Department of State,1991,5272223
Department of State,1992,6171102
Department of State,1993,6561243
Department of State,1994,7049953
Department of State,1995,6141000
Department of State,1996,5852000
Department of State,1997,5984000
Department of State,1998,6074000
Department of State,1999,8914000
Department of State,2000,8113000
Department of State,2001,8371000
Department of State,2002,9859000
Department of State,2003,10353000
Department of State,2004,11951000
Department of State,2005,14595000
Department of State,2006,15438000
Department of State,2007,17084000
Department of State,2008,23124000
Department of State,2009,27164000
Department of State,2010,30285000
Department of State,2011,26879000
Department of State,2012,30122000
Department of State,2013,29584000
Department of State,2014,28588000
Department of State,2015,29241000
Department of State,2016,29492000
Department of State,2017,27127000
Department of State,2018,27671000
Department of State,2019,27965000
Department of State,2020,28262000
Department of the Treasury,1976,44
Department of the Treasury,1977,49491445
Department of the Treasury,1978,56370054
Department of the Treasury,1979,63621768
Department of the Treasury,1980,89462963
Department of the Treasury,1981,91193345
Department of the Treasury,1982,110329271
Department of the Treasury,1983,116211907
Department of the Treasury,1984,140445355
Department of the Treasury,1985,164825560
Department of the Treasury,1986,178401493
Department of the Treasury,1987,180053326
Department of the Treasury,1988,202112112
Department of the Treasury,1989,230802091
Department of the Treasury,1990,257597385
Department of the Treasury,1991,276500966
Department of the Treasury,1992,293647404
Department of the Treasury,1993,298456927
Department of the Treasury,1994,307255523
Department of the Treasury,1995,351708000
Department of the Treasury,1996,363815000
Department of the Treasury,1997,377894000
Department of the Treasury,1998,391348000
Department of the Treasury,1999,386880000
Department of the Treasury,2000,391649000
Department of the Treasury,2001,389999000
Department of the Treasury,2002,371204000
Department of the Treasury,2003,369139000
Department of the Treasury,2004,376958000
Department of the Treasury,2005,411697000
Department of the Treasury,2006,466551000
Department of the Treasury,2007,492728000
Department of the Treasury,2008,751174000
Department of the Treasury,2009,896975000
Department of the Treasury,2010,392169000
Department of the Treasury,2011,494153000
Department of the Treasury,2012,442633000
Department of the Treasury,2013,440900000
Department of the Treasury,2014,442972000
Department of the Treasury,2015,500984000
Department of the Treasury,2016,577141000
Department of the Treasury,2017,672805000
Department of the Treasury,2018,759402000
Department of the Treasury,2019,843709000
Department of the Treasury,2020,920541000
Social Security Administration,1976,0
Social Security Administration,1977,6612024
Social Security Administration,1978,5991203
Social Security Administration,1979,6266183
Social Security Administration,1980,7144490
Social Security Administration,1981,7899469
Social Security Administration,1982,8613094
Social Security Administration,1983,30450615
Social Security Administration,1984,17830655
Social Security Administration,1985,19967620
Social Security Administration,1986,15931136
Social Security Administration,1987,16412457
Social Security Administration,1988,18330188
Social Security Administration,1989,18627980
Social Security Administration,1990,17424669
Social Security Administration,1991,20575868
Social Security Administration,1992,23986355
Social Security Administration,1993,28080663
Social Security Administration,1994,32375640
Social Security Administration,1995,32551000
Social Security Administration,1996,30349000
Social Security Administration,1997,34413000
Social Security Administration,1998,36022000
Social Security Administration,1999,39797000
Social Security Administration,2000,45112000
Social Security Administration,2001,43259000
Social Security Administration,2002,43913000
Social Security Administration,2003,46157000
Social Security Administration,2004,49939000
Social Security Administration,2005,54777000
Social Security Administration,2006,53360000
Social Security Administration,2007,56663000
Social Security Administration,2008,58500000
Social Security Administration,2009,78406000
Social Security Administration,2010,70198000
Social Security Administration,2011,154714000
Social Security Administration,2012,188759000
Social Security Administration,2013,109001000
Social Security Administration,2014,83745000
Social Security Administration,2015,89288000
Social Security Administration,2016,99164000
Social Security Administration,2017,100261000
Social Security Administration,2018,100446000
Social Security Administration,2019,109840000
Social Security Administration,2020,115484000
Social Security Administration b,1976,-35
Social Security Administration b,1977,84909333
Social Security Administration b,1978,93712063
Social Security Administration b,1979,104233482
Social Security Administration b,1980,119277740
Social Security Administration b,1981,140403842
Social Security Administration b,1982,156237599
Social Security Administration b,1983,150984113
Social Security Administration b,1984,171709912
Social Security Administration b,1985,184648139
Social Security Administration b,1986,191781552
Social Security Administration b,1987,203461428
Social Security Administration b,1988,216285327
Social Security Administration b,1989,228432166
Social Security Administration b,1990,246875018
Social Security Administration b,1991,268531323
Social Security Administration b,1992,283364647
Social Security Administration b,1993,300089213
Social Security Administration b,1994,315450392
Social Security Administration b,1995,327808000
Social Security Administration b,1996,346315000
Social Security Administration b,1997,359155000
Social Security Administration b,1998,371321000
Social Security Administration b,1999,380267000
Social Security Administration b,2000,398770000
Social Security Administration b,2001,428670000
Social Security Administration b,2002,447951000
Social Security Administration b,2003,463279000
Social Security Administration b,2004,481699000
Social Security Administration b,2005,515130000
Social Security Administration b,2006,536159000
Social Security Administration b,2007,569627000
Social Security Administration b,2008,601826000
Social Security Administration b,2009,654799000
Social Security Administration b,2010,683908000
Social Security Administration b,2011,629821000
Social Security Administration b,2012,637241000
Social Security Administration b,2013,760588000
Social Security Administration b,2014,828419000
Social Security Administration b,2015,869510000
Social Security Administration b,2016,912228000
Social Security Administration b,2017,962212000
Social Security Administration b,2018,1019013000
Social Security Administration b,2019,1079344000
Social Security Administration b,2020,1143064000
Department of Education,1976,0
