word,date,matches,freq
him,1896,1396612,0.002076145
him,1897,1373011,0.002030006
him,1898,1333284,0.001964298
him,1899,1378877,0.002086447
him,1900,1403126,0.002114355
him,1901,1388061,0.002035707
him,1902,1311704,0.001966413
him,1903,1265399,0.001943452
him,1904,1307013,0.001966048
him,1905,1128459,0.001706603
him,1906,1232966,0.001881831
him,1907,1181211,0.001801795
him,1908,1148486,0.001775643
him,1909,1123144,0.001737728
him,1910,1152872,0.001775563
him,1911,1050375,0.001656696
him,1912,1016284,0.001645497
him,1913,993831,0.001607509
him,1914,980268,0.00165035
him,1915,864127,0.001509743
him,1916,832580,0.001489278
him,1917,877081,0.001590085
him,1918,767108,0.00143722
him,1919,873229,0.001544291
him,1920,909702,0.00152906
him,1921,935277,0.001528748
him,1922,936085,0.001540705
him,1923,1040509,0.001672829
him,1924,1023386,0.001685077
him,1925,1059542,0.00175107
him,1926,1046838,0.001761181
him,1927,1081246,0.001748433
him,1928,1017315,0.001720689
him,1929,1094426,0.001823478
him,1930,1077556,0.001772595
him,1931,1051289,0.001690151
him,1932,1112232,0.001764765
him,1933,1043405,0.001734351
him,1934,1006146,0.001657152
him,1935,1112682,0.001758524
him,1936,1015683,0.001642118
him,1937,1013809,0.001592832
him,1938,945717,0.001475757
him,1939,919268,0.001403568
him,1940,879424,0.001353111
him,1941,841586,0.001315017
him,1942,900121,0.0013889
him,1943,865386,0.00137813
him,1944,839793,0.001375064
him,1945,891937,0.001422122
him,1946,991531,0.001579591
him,1947,961652,0.001472145
him,1948,919817,0.001397862
him,1949,898836,0.001355013
him,1950,913941,0.001378314
him,1951,923439,0.001348058
him,1952,950792,0.001337732
him,1953,897597,0.001343496
him,1954,885794,0.00131128
him,1955,928400,0.001374458
him,1956,915745,0.001332473
him,1957,907223,0.001365181
him,1958,859312,0.001268883
him,1959,811471,0.001258659
him,1960,816858,0.001228949
him,1961,793331,0.001220047
him,1962,820746,0.001215899
him,1963,803244,0.001234992
him,1964,704566,0.001095295
him,1965,733701,0.001111571
him,1966,739633,0.001135319
him,1967,756697,0.001169626
him,1968,783622,0.001213573
him,1969,766050,0.001224897
him,1970,768499,0.001205261
him,1971,676637,0.001078257
him,1972,641336,0.001035702
him,1973,642355,0.000992843
him,1974,636842,0.0010047
him,1975,569553,0.000952347
him,1976,608150,0.000953423
him,1977,586081,0.000945379
him,1978,586764,0.0009422
him,1979,574998,0.000893732
him,1980,617058,0.000928112
him,1981,613128,0.00090723
him,1982,597959,0.000900505
him,1983,593069,0.000864505
him,1984,584978,0.000856823
him,1985,617564,0.000908071
him,1986,580300,0.00083009
him,1987,576165,0.000839433
him,1988,588206,0.000846213
him,1989,617422,0.000904123
him,1990,579145,0.000853493
him,1991,593022,0.000865954
him,1992,609058,0.000856808
him,1993,647387,0.000894242
him,1994,595881,0.000847842
him,1995,604980,0.000818713
him,1996,633010,0.000833605
him,1997,594325,0.000812048
him,1998,595765,0.000809228
him,1999,604578,0.00082
him,2000,673206,0.000917884
him,2001,687449,0.000918568
him,2002,699869,0.000992625
him,2003,698938,0.001026053
him,2004,805767,0.001195515
him,2005,802853,0.001204183
him,2006,819047,0.001194034
him,2007,998757,0.001468412
