word,date,freq
^ay,1632,4.34E-10
^ay,1633,3.77E-10
^ay,1634,1.96E-10
^ay,1635,6.35E-10
^ay,1636,3.24E-10
^ay,1637,4.77E-10
^ay,1638,5.57E-10
^ay,1639,5.80E-10
^ay,1640,6.92E-10
^ay,1641,1.34E-10
^ay,1642,3.04E-10
^ay,1643,3.14E-10
^ay,1644,2.67E-10
^ay,1645,3.18E-10
^ay,1646,1.35E-10
^ay,1647,2.80E-10
^ay,1648,1.39E-10
^ay,1649,2.51E-10
^ay,1650,2.40E-10
^ay,1651,1.22E-10
^ay,1652,1.22E-10
^ay,1653,1.57E-10
^ay,1654,8.34E-11
^ay,1655,9.08E-11
^ay,1656,8.36E-11
^ay,1657,1.06E-10
^ay,1658,7.80E-11
^ay,1659,5.20E-10
^ay,1660,1.05E-10
^ay,1661,1.12E-10
^ay,1662,1.71E-10
^ay,1663,3.89E-11
^ay,1664,3.20E-10
^ay,1665,9.13E-11
^ay,1666,1.13E-09
^ay,1667,1.79E-11
^ay,1668,1.50E-10
^ay,1669,7.42E-11
^ay,1670,3.38E-11
^ay,1671,4.87E-11
^ay,1672,2.45E-11
^ay,1673,1.39E-10
^ay,1674,4.35E-11
^ay,1675,1.31E-10
^ay,1676,9.47E-11
^ay,1677,6.30E-11
^ay,1678,3.29E-11
^ay,1679,9.68E-11
^ay,1680,5.34E-11
^ay,1681,5.07E-11
^ay,1682,7.25E-11
^ay,1683,1.19E-11
^ay,1684,1.07E-10
^ay,1685,1.22E-10
^ay,1686,8.95E-11
^ay,1687,6.95E-11
^ay,1688,4.31E-11
^ay,1689,8.34E-11
^ay,1690,3.58E-11
^ay,1691,2.75E-10
^ay,1692,4.62E-11
^ay,1693,1.54E-10
^ay,1694,1.08E-10
^ay,1695,5.29E-11
^ay,1696,1.10E-10
^ay,1697,3.80E-11
^ay,1698,1.12E-10
^ay,1699,1.65E-11
^ay,1700,1.26E-10
^CC,1476,7.43E-07
^CC,1477,7.95E-07
^CC,1478,8.46E-07
^CC,1479,9.10E-07
^CC,1480,8.29E-07
^CC,1481,9.85E-07
^CC,1482,9.13E-07
^CC,1483,9.65E-07
^CC,1484,9.44E-07
^CC,1485,9.31E-07
^CC,1486,8.22E-07
^CC,1487,9.23E-07
^CC,1489,9.68E-07
^CC,1490,9.28E-07
^CC,1491,1.02E-06
^CC,1492,8.66E-07
^CC,1493,8.33E-07
^CC,1494,8.57E-07
^CC,1495,9.02E-07
^CC,1496,9.17E-07
^CC,1497,8.68E-07
^CC,1498,7.87E-07
^CC,1499,9.35E-07
^CC,1500,9.27E-07
^CC,1502,9.09E-07
^CC,1503,9.30E-07
^CC,1504,9.37E-07
^CC,1506,8.92E-07
^CC,1507,8.87E-07
^CC,1508,6.45E-07
^CC,1509,8.26E-07
^CC,1510,9.28E-07
^CC,1511,9.50E-07
^CC,1513,5.63E-07
^CC,1514,8.83E-07
^CC,1515,9.16E-07
^CC,1516,8.17E-07
^CC,1517,9.07E-07
^CC,1518,8.15E-07
^CC,1519,8.36E-07
^CC,1520,8.44E-07
^CC,1521,9.07E-07
^CC,1523,8.89E-07
^CC,1524,8.80E-07
^CC,1525,8.92E-07
^CC,1526,8.91E-07
^CC,1527,8.99E-07
^CC,1528,8.47E-07
^CC,1529,9.04E-07
^CC,1530,9.00E-07
^CC,1531,8.33E-07
^CC,1532,9.01E-07
^CC,1533,9.30E-07
^CC,1534,9.17E-07
^CC,1535,9.07E-07
^CC,1536,8.87E-07
^CC,1537,8.42E-07
^CC,1538,8.12E-07
^CC,1539,9.49E-07
^CC,1540,9.62E-07
^CC,1541,8.18E-07
^CC,1542,8.60E-07
^CC,1543,8.62E-07
^CC,1544,8.40E-07
^CC,1545,8.23E-07
^CC,1546,8.55E-07
^CC,1547,8.54E-07
^CC,1548,8.38E-07
^CC,1549,8.66E-07
^CC,1550,8.85E-07
^CC,1551,8.11E-07
^CC,1552,7.94E-07
^CC,1553,8.19E-07
^CC,1554,8.19E-07
^CC,1555,8.70E-07
^CC,1556,8.40E-07
^CC,1557,8.45E-07
^CC,1558,7.81E-07
^CC,1559,7.83E-07
^CC,1560,8.18E-07
^CC,1561,8.64E-07
^CC,1562,8.41E-07
^CC,1563,8.38E-07
^CC,1564,8.44E-07
^CC,1565,8.27E-07
^CC,1566,8.35E-07
^CC,1567,7.91E-07
^CC,1568,8.63E-07
^CC,1569,7.96E-07
^CC,1570,8.64E-07
^CC,1571,7.91E-07
^CC,1572,7.42E-07
^CC,1573,7.93E-07
^CC,1574,8.09E-07
^CC,1575,7.73E-07
^CC,1576,7.76E-07
^CC,1577,8.27E-07
^CC,1578,6.84E-07
^CC,1579,8.24E-07
^CC,1580,8.05E-07
